Date,Brand,Type,Buy,Sell,Spread
2025-02-27 20:45:00,DOJI,Bullion,88900.0,91200.0,2300.0
2025-02-27 20:45:00,DOJI,Ring,90100.0,91200.0,1100.0
2025-02-27 20:45:00,PNJ,Bullion,88900.0,91200.0,2300.0
2025-02-27 20:45:00,PNJ,Ring,90300.0,91200.0,900.0
2025-02-27 20:45:00,SJC,Bullion,88900.0,91200.0,2300.0
2025-02-27 20:45:00,SJC,Ring,88900.0,91000.0,2100.0
2025-02-27 20:45:00,PHU-QUY,Bullion,89200.0,91200.0,2000.0
2025-02-27 20:45:00,PHU-QUY,Ring,90000.0,91500.0,1500.0
2025-02-27 20:45:00,BAO-TIN-MINH-CHAU,Bullion,89200.0,91200.0,2000.0
2025-02-27 20:45:00,BAO-TIN-MINH-CHAU,Ring,90150.0,91700.0,1550.0
2025-02-27 20:45:00,BAO-TIN-MANH-HAI,Ring,90150.0,90150.0,0.0
2025-02-26 22:55:00,MI-HONG,Bullion,90600.0,91500.0,900.0
2025-02-26 22:55:00,MI-HONG,Ring,90500.0,91500.0,1000.0
2025-02-27 20:45:00,NGOC-THAM,Bullion,89300.0,91500.0,2200.0
2025-02-27 20:45:00,NGOC-THAM,Ring,89100.0,91300.0,2200.0
2025-02-27 22:40:00,DOJI,Bullion,88900.0,91200.0,2300.0
2025-02-27 22:40:00,DOJI,Ring,90100.0,91200.0,1100.0
2025-02-27 22:40:00,PNJ,Bullion,88900.0,91200.0,2300.0
2025-02-27 22:40:00,PNJ,Ring,90300.0,91200.0,900.0
2025-02-27 22:40:00,SJC,Bullion,88900.0,91200.0,2300.0
2025-02-27 22:40:00,SJC,Ring,88900.0,91000.0,2100.0
2025-02-27 22:40:00,PHU-QUY,Bullion,89200.0,91200.0,2000.0
2025-02-27 22:40:00,PHU-QUY,Ring,90000.0,91500.0,1500.0
2025-02-27 22:40:00,BAO-TIN-MINH-CHAU,Bullion,89200.0,91200.0,2000.0
2025-02-27 22:40:00,BAO-TIN-MINH-CHAU,Ring,90150.0,91700.0,1550.0
2025-02-27 22:40:00,BAO-TIN-MANH-HAI,Ring,90150.0,90150.0,0.0
2025-02-26 22:55:00,MI-HONG,Bullion,90600.0,91500.0,900.0
2025-02-26 22:55:00,MI-HONG,Ring,90500.0,91500.0,1000.0
2025-02-27 22:40:00,NGOC-THAM,Bullion,89300.0,91500.0,2200.0
2025-02-27 22:40:00,NGOC-THAM,Ring,89100.0,91300.0,2200.0
2025-02-27 22:55:00,DOJI,Bullion,88900.0,91200.0,2300.0
2025-02-27 22:55:00,DOJI,Ring,90100.0,91200.0,1100.0
2025-02-27 22:55:00,PNJ,Bullion,88900.0,91200.0,2300.0
2025-02-27 22:55:00,PNJ,Ring,90300.0,91200.0,900.0
2025-02-27 22:55:00,SJC,Bullion,88900.0,91200.0,2300.0
2025-02-27 22:55:00,SJC,Ring,88900.0,91000.0,2100.0
2025-02-27 22:55:00,PHU-QUY,Bullion,89200.0,91200.0,2000.0
2025-02-27 22:55:00,PHU-QUY,Ring,90000.0,91500.0,1500.0
2025-02-27 22:55:00,BAO-TIN-MINH-CHAU,Bullion,89200.0,91200.0,2000.0
2025-02-27 22:55:00,BAO-TIN-MINH-CHAU,Ring,90150.0,91700.0,1550.0
2025-02-27 22:55:00,BAO-TIN-MANH-HAI,Ring,90150.0,90150.0,0.0
2025-02-26 22:55:00,MI-HONG,Bullion,90600.0,91500.0,900.0
2025-02-26 22:55:00,MI-HONG,Ring,90500.0,91500.0,1000.0
2025-02-27 22:55:00,NGOC-THAM,Bullion,89300.0,91500.0,2200.0
2025-02-27 22:55:00,NGOC-THAM,Ring,89100.0,91300.0,2200.0
2025-02-28 09:15:00,DOJI,Bullion,88900.0,90900.0,2000.0
2025-02-28 09:15:00,DOJI,Ring,89800.0,90900.0,1100.0
2025-02-28 09:15:00,PNJ,Bullion,88900.0,90900.0,2000.0
2025-02-28 09:15:00,PNJ,Ring,90000.0,90900.0,900.0
2025-02-28 09:15:00,SJC,Bullion,88900.0,90900.0,2000.0
2025-02-28 09:15:00,SJC,Ring,88900.0,90800.0,1900.0
2025-02-28 09:15:00,PHU-QUY,Bullion,89100.0,90900.0,1800.0
2025-02-28 09:15:00,PHU-QUY,Ring,89900.0,91400.0,1500.0
2025-02-28 09:15:00,BAO-TIN-MINH-CHAU,Bullion,89200.0,91200.0,2000.0
2025-02-28 09:15:00,BAO-TIN-MINH-CHAU,Ring,90150.0,91700.0,1550.0
